index,residual,influ,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
4.300000000000000000e+01,2.572063191825429840e+01,3.760069748793577749e-02,1.639096499747239477e+00,-3.402850479265339345e+00,1.283396593968546551e-01,-1.098920529376018251e+00,3.297062966788481125e-02,1.440664366617002735e-02,3.353053887564577572e-08,1.522266285969321347e-05
4.400000000000000000e+01,-1.799095102228929477e+01,7.298771789459626569e-02,2.495494590604966945e+01,-1.747929698978160573e+01,1.183125514598307171e-01,-9.148687535349313560e-01,2.939809141467891393e-02,1.829362856111437299e-02,5.113743233894196296e-08,1.006411275939900348e-05
4.500000000000000000e+01,-1.242619717272366699e+02,7.672053221972534309e-02,1.882133971870949551e+00,-1.075293564919684641e+00,1.037393433313544555e-01,-5.773840220150044944e-01,4.405185948747808444e-02,1.669309822196070672e-02,6.243373528154347476e-08,1.397216518120429041e-05
4.600000000000000000e+01,-6.456390634105838444e+01,1.378022675748873660e-01,1.669483448436814044e+01,-1.120533673210886327e+01,1.234217250676686584e-01,-7.076321935901648263e-01,2.920964271292291262e-02,1.455585539172410230e-02,2.737589261982230997e-08,1.138653941406047412e-05
4.700000000000000000e+01,-5.262101697803163347e+01,6.650519188176351459e-02,2.788532479021217014e+01,-9.579006933759799836e+00,1.052053335467269535e-01,-1.047096194858053053e+00,3.528409938128273388e-02,1.929459696231751800e-02,7.531211777900904870e-08,1.014230676897183844e-05
4.800000000000000000e+01,9.593765572873064684e+01,1.367751643336869993e-01,2.093096515522338308e+01,-1.532583626236912444e+01,1.244984201591675388e-01,-5.848476217681585210e-01,2.502613220813737493e-02,1.554425119257977356e-02,2.616485177159588048e-08,1.068703645868736833e-05
4.900000000000000000e+01,5.143531043550316895e+01,3.548984464295497354e-02,1.603452908833932611e+01,-1.455679835925914212e+01,8.699195875564028069e-02,-1.301006792475948859e-01,4.719267642065123891e-02,1.918941684010911156e-02,9.131815461782544822e-08,1.636577822267213934e-05
5.000000000000000000e+01,5.509098910619896117e+01,1.172096942935728012e-02,2.581134965167644069e+01,5.525163739775969418e+00,5.587187477958142218e-02,-5.532387874947983786e-01,3.495907623883755949e-02,1.407055448396069865e-02,5.307764477255808447e-08,1.218642128201115101e-05
5.100000000000000000e+01,-5.976543668972061596e+01,1.595059418197995391e-02,6.157961949693768133e+01,-5.717749000712984753e+01,2.010382476750288139e-01,-1.655174617097298739e+00,1.514999642146204299e-02,1.241113074725094106e-02,1.297382736492213439e-08,7.133469990558467623e-06
5.200000000000000000e+01,-1.333322734153345834e+01,1.872998705783243123e-01,1.962875233056964319e+01,1.210485831881477559e+01,5.618808542872542888e-02,-6.559975264178521392e-01,3.774648852836651886e-02,1.516406888455906418e-02,5.652166923797778289e-08,1.096241235586245434e-05
5.300000000000000000e+01,-7.218387145910972436e+01,1.809489147032822265e-02,4.438214918064137748e+01,-5.960471276660768325e+01,1.725712098328999744e-01,-9.382525189741650617e-01,2.481005404128479308e-02,1.406812227949940687e-02,1.754883257269182992e-08,1.798641798781669179e-05
5.400000000000000000e+01,-7.355178229144968327e+00,5.883086293498217961e-02,2.631074313718677260e+01,-4.527448710045607783e+00,6.179523807474743280e-02,-2.959415517685409780e-01,4.009152767080824409e-02,1.449119548181791901e-02,6.268501680290509856e-08,1.376267243341045334e-05
5.500000000000000000e+01,-4.504538019107224045e+01,2.832345948917331172e-02,2.520798884486146818e+01,-1.138330574413300766e+00,4.915227521065194949e-02,-1.758579905987328329e-01,4.246746473494475427e-02,1.617507405234076476e-02,6.311452167786944554e-08,1.166744447164738257e-05
5.600000000000000000e+01,3.967611722575935573e+01,1.413365114786933052e-01,2.991714102715725687e-01,-5.419269418907088465e+00,1.147996988269783525e-01,-5.703314451029101173e-01,4.394367867446929976e-02,1.587400001992105014e-02,5.760952227334228095e-08,1.543754883331675687e-05
5.700000000000000000e+01,3.960123895731896937e+00,6.474811514366035636e-02,2.644972507710438947e+01,-4.690379571382363721e-02,5.690291297942960680e-02,-3.776106100309130076e-01,3.628987410743694103e-02,1.313383230434997384e-02,5.668720395721329748e-08,1.175304808205645273e-05
5.800000000000000000e+01,2.297116654734313101e+01,5.425849700859772251e-02,1.060866927233590928e+01,-9.281511003843672114e+00,1.199203078510838599e-01,-5.609584855331878339e-01,4.758270707616572837e-02,2.265112489264999723e-02,6.451081437642623414e-08,1.429892966554378408e-05
